STUDY_ID	SAMPLE_ID	MYC	BASP1
all_phase2_target_2018_pub	TARGET-10-PAPNFY-04	12.5848	1.639
all_phase2_target_2018_pub	TARGET-10-PAPNFY-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPNMY-04	28.1895	0.5494
all_phase2_target_2018_pub	TARGET-10-PAPNMY-09	37.5231	0.8878
all_phase2_target_2018_pub	TARGET-10-PAPNMY-40	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPNNX-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPNNX-04	23.7533	0.0565
all_phase2_target_2018_pub	TARGET-10-PAPNNX-09	22.254	0.5758
all_phase2_target_2018_pub	TARGET-10-PAPNTA-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPNZE-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPPGN-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPPGN-04	15.0641	4.9578
all_phase2_target_2018_pub	TARGET-10-PAPPGN-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPPHL-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPPHL-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPRCS-04	12.7835	0.3175
all_phase2_target_2018_pub	TARGET-10-PAPRCS-09	26.5108	0.2688
all_phase2_target_2018_pub	TARGET-10-PAPRFE-09	16.7095	4.0327
all_phase2_target_2018_pub	TARGET-10-PAPRYB-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPRYB-40	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPSPG-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPSPG-04	28.0438	2.0081
all_phase2_target_2018_pub	TARGET-10-PAPSPG-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPSPN-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPSPN-04	51.9274	0.4629
all_phase2_target_2018_pub	TARGET-10-PAPSPN-09	21.0373	0.2041
all_phase2_target_2018_pub	TARGET-10-PAPTGG-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPTHJ-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPTHJ-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPTHJ-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPTLM-09	12.4	12.4972
all_phase2_target_2018_pub	TARGET-10-PAPUDR-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPVNW-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPVTA-04	23.1021	4.8751
all_phase2_target_2018_pub	TARGET-10-PAPVTA-09	12.1989	0.617
all_phase2_target_2018_pub	TARGET-10-PAPXED-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPXED-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPYEX-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPZGR-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPZGR-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPZNK-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPZNK-04	50.4933	0.3501
all_phase2_target_2018_pub	TARGET-10-PAPZNK-09	8.4309	0.5854
all_phase2_target_2018_pub	TARGET-10-PAPZST-04	13.3639	16.2259
all_phase2_target_2018_pub	TARGET-10-PAPZST-09	24.6597	5.3695
all_phase2_target_2018_pub	TARGET-10-PARACA-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARACA-09	19.0409	24.9348
all_phase2_target_2018_pub	TARGET-10-PARAKF-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARAKF-04	16.8075	2.8591
all_phase2_target_2018_pub	TARGET-10-PARAKF-09	17.6404	2.2583
all_phase2_target_2018_pub	TARGET-10-PARARJ-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARARJ-09	20.563	0.6211
all_phase2_target_2018_pub	TARGET-10-PARBDN-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARBDN-04	NA	NA
