STUDY_ID	SAMPLE_ID	MYC	PHB
coadread_dfci_2016	coadread_dfci_2016_3002	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1251	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3671	NA	NA
coadread_dfci_2016	coadread_dfci_2016_223	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1249	NA	NA
coadread_dfci_2016	coadread_dfci_2016_43	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4533	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2775	NA	NA
coadread_dfci_2016	coadread_dfci_2016_240	NA	NA
coadread_dfci_2016	coadread_dfci_2016_204	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3440	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1794	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3542	NA	NA
coadread_dfci_2016	coadread_dfci_2016_604	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3712	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4526	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4537	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2765	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3016	NA	NA
coadread_dfci_2016	coadread_dfci_2016_358480	NA	NA
coadread_dfci_2016	coadread_dfci_2016_222	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2260	NA	NA
coadread_dfci_2016	coadread_dfci_2016_30	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1170	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2760	NA	NA
coadread_dfci_2016	coadread_dfci_2016_283200	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1232	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3529	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3058	NA	NA
coadread_dfci_2016	coadread_dfci_2016_193667	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3059	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3496	NA	NA
coadread_dfci_2016	coadread_dfci_2016_442	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2438	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2939	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1227	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3237	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3038	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3673	NA	NA
coadread_dfci_2016	coadread_dfci_2016_201263	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3298	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4506	NA	NA
coadread_dfci_2016	coadread_dfci_2016_354207	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3644	NA	NA
